GENE,REFSEQ_ID,UNIPROT_ID,AVE_SC,NUM_EXPT,CC405,CC406,CC410
TRIM26,NP_001229712;NP_003440,TRI26_HUMAN,1,1,0,0,1
TRIM41,NP_291027;NP_963921,TRI41_HUMAN,1.67,3,3,1,1
TRIP13,NP_001159732;NP_004228,PCH2_HUMAN,2.5,2,0,2,3
TRMT10C,NP_060289,MRRP1_HUMAN,1,1,0,1,0
TSPYL1,NP_003300,TSYL1_HUMAN,1,1,0,1,0
TTF1,NP_001192225;NP_031370,TTF1_HUMAN,2,2,0,2,2
TTI2,NP_001095871;NP_001252510,TTI2_HUMAN,1,1,0,1,0
TTN,NP_001243779;NP_001254479,TITIN_HUMAN,1,1,0,0,1
TUBA1A,NP_001257328;NP_001257329,TBA1A_HUMAN,64,3,98,46,48
TUBA1B,NP_006073;XP_005268621,TBA1B_HUMAN,65,3,100,47,48
TUBA1C,NP_116093;XP_005269252,TBA1C_HUMAN,64,3,99,47,46
TUBA3C,NP_005992,TBA3C_HUMAN,53,3,88,36,35
TUBA3D,NP_525125,TBA3C_HUMAN,53,3,88,36,35
TUBA3E,NP_997195,TBA3E_HUMAN,40,3,66,27,27
TUBA4A,NP_001265481;NP_005991,TBA4A_HUMAN,44.67,3,70,30,34
TUBA8,NP_001180343;NP_061816,TBA8_HUMAN,32.33,3,54,21,22
TUBAL3,NP_001165335;NP_079079,TBAL3_HUMAN,7,3,12,5,4
TUBB,NP_821133;XP_005248940,TBB5_HUMAN,96.67,3,157,71,62
TUBB1,NP_110400,TBB1_HUMAN,18,3,21,21,12
TUBB2A,NP_001060;XP_005249416,TBB2A_HUMAN,68,3,112,52,40
TUBB2B,NP_821080,TBB2B_HUMAN,67.67,3,111,52,40
TUBB4A,NP_006078;XP_005259534,TBB4A_HUMAN,59.33,3,86,49,43
TUBB4B,NP_006079,TBB4B_HUMAN,81.67,3,129,61,55
TUBB6,NP_115914;XP_005258216,TBB6_HUMAN,35.67,3,47,36,24
TUBB8,NP_817124,TBB8_HUMAN,29.33,3,39,28,21
TUBG1,NP_001061,TBG1_HUMAN,1,1,0,1,0
TUBG2,NP_057521;XP_005257279,TBG2_HUMAN,1,1,0,1,0
TUBGCP4,NP_055259;XP_005254364,GCP4_HUMAN,1,1,0,0,1
TUFM,NP_003312,EFTU_HUMAN,3.33,3,7,1,2
TXN,NP_001231867;NP_003320,THIO_HUMAN,4,1,0,4,0
UBA1,NP_003325;NP_695012,UBA1_HUMAN,8,1,8,0,0
UBA52,NP_001029102;NP_003324,RL40_HUMAN,33.67,3,43,28,30
UBB,NP_001268645;NP_001268646,UBB_HUMAN,33.67,3,43,28,30
UBC,NP_066289;XP_005253669,UBC_HUMAN,33.67,3,43,28,30
UBR2,NP_001171730;NP_056070,UBR2_HUMAN,1,1,0,1,0
UHMK1,NP_001171692;NP_653225,UHMK1_HUMAN,4,1,4,0,0
UMPS,NP_000364;XP_005247800,UMPS_HUMAN,1.5,2,1,2,0
UNC45A,NP_001034764;NP_061141,UN45A_HUMAN,1.5,2,2,1,0
UTP15,NP_001271359;NP_001271360,UTP15_HUMAN,1,1,0,0,1
UTP3,NP_065101,SAS10_HUMAN,1,1,0,1,0
UTP6,NP_060898,UTP6_HUMAN,1,1,1,0,0
VCP,NP_009057;XP_005251632,TERA_HUMAN,3.5,2,3,4,0
VDAC2,NP_001171712;NP_001171752,VDAC2_HUMAN,1.5,2,2,1,0
VDAC3,NP_001129166;NP_005653,VDAC3_HUMAN,1,1,0,1,0
VIM,NP_003371;XP_005252636,VIME_HUMAN,44.67,3,72,31,31
VPRBP,NP_001165375;NP_055518,VPRBP_HUMAN,1,1,1,0,0
VPS33A,NP_075067,VP33A_HUMAN,1,1,0,0,1
VPS4A,NP_037377;XP_005255948,VPS4A_HUMAN,1,2,0,1,1
VPS4B,NP_004860,VPS4B_HUMAN,1,2,0,1,1
WDR12,NP_060726,WDR12_HUMAN,5,3,1,8,6
WDR3,NP_006775;XP_005270446,WDR3_HUMAN,1,1,0,0,1
WDR36,NP_644810,WDR36_HUMAN,1,2,0,1,1
WDR5,NP_060058;NP_438172,WDR5_HUMAN,2,1,0,2,0
WDR55,NP_060176;XP_005268526,WDR55_HUMAN,1,1,0,1,0
WDR74,NP_060563;XP_005274112,WDR74_HUMAN,1.5,2,0,2,1
WDR81,NP_001157145;NP_001157281,WDR81_HUMAN,1,1,1,0,0
WDR83,NP_001093207;NP_115708,WDR83_HUMAN,1,1,1,0,0
XIRP1,NP_001185550;NP_919269,XIRP1_HUMAN,2,1,0,2,0
XPO1,NP_003391;XP_005264601,XPO1_HUMAN,5,3,12,2,1
XPOT,NP_009166,XPOT_HUMAN,2,2,3,1,0
XRCC5,NP_066964;XP_005246893,XRCC5_HUMAN,23.67,3,11,28,32
XRCC6,NP_001460;XP_005261544,XRCC6_HUMAN,36,3,16,38,54
XYLB,NP_005099;XP_005265694,XYLB_HUMAN,1,1,0,0,1
YARS,NP_003671,SYYC_HUMAN,1,1,1,0,0
YBX1,NP_004550;XP_005270961,YBOX1_HUMAN,13.67,3,17,15,9
YBX2,NP_057066,YBOX2_HUMAN,4,3,2,6,4
YBX3,NP_001138898;NP_003642,YBOX3_HUMAN,4.33,3,2,6,5
YME1L1,NP_001240795;NP_055078,YMEL1_HUMAN,1,1,0,0,1
YWHAB,NP_003395;NP_647539,1433B_HUMAN,2,1,0,0,2
YWHAE,NP_006752;XP_005256841,1433E_HUMAN,1.5,2,0,1,2
YWHAG,NP_036611,1433G_HUMAN,2,1,0,0,2
YWHAH,NP_003396;XP_005261787,1433F_HUMAN,2,1,0,0,2
YWHAQ,NP_006817;XP_005246205,1433T_HUMAN,1.5,2,1,0,2
YWHAZ,NP_001129171;NP_001129172,1433Z_HUMAN,3,2,2,0,4
ZC3H18,NP_653205;XP_005256338,ZCH18_HUMAN,3,1,3,0,0
ZCCHC10,NP_060135;XP_005272081,ZCH10_HUMAN,1,1,0,1,0
ZER1,NP_006327;XP_005251702,ZER1_HUMAN,2,1,0,2,0
ZNF200,NP_001138918;NP_001138919,ZN200_HUMAN,1,1,1,0,0
ZNF285,NP_689567;XP_001724294,ZN285_HUMAN,1,1,0,1,0
ZNF800,NP_789784;XP_005250236,ZN800_HUMAN,2,1,2,0,0
ZW10,NP_004715,ZW10_HUMAN,1,2,0,1,1
ZWILCH,NP_060445,ZWILC_HUMAN,1,2,0,1,1
gi|105990539|ref|NP_006149.2|,NP_006149.2,--,1,2,1,1,0
gi|106879206|ref|NP_078920.2|,NP_078920.2,--,6.33,3,14,2,3
gi|113413200|ref|XP_934799.2|,XP_934799.2,--,5.33,3,9,2,5
gi|113428306|ref|XP_372741.4|,XP_372741.4,--,1,1,1,0,0
gi|118150654|ref|NP_060944.3|,NP_060944.3,--,1,1,0,0,1
gi|163965362|ref|NP_001106672.1|,NP_001106672.1,--,2,1,0,2,0
gi|169161980|ref|XP_001713894.1|,XP_001713894.1,--,2,1,0,0,2
gi|169164505|ref|XP_001717081.1|,XP_001717081.1,--,15,1,15,0,0
gi|169167243|ref|XP_001717112.1|,XP_001717112.1,--,1,1,0,1,0
gi|169172639|ref|XP_001713896.1|,XP_001713896.1,--,1.33,3,2,1,1
gi|169214050|ref|XP_001718975.1|,XP_001718975.1,--,1,1,1,0,0
gi|169216191|ref|XP_947659.2|,XP_947659.2,--,1.5,2,0,2,1
gi|169216802|ref|XP_001130425.2|,XP_001130425.2,--,1.5,2,0,2,1
gi|169216977|ref|XP_001719446.1|,XP_001719446.1,--,1.5,2,0,2,1
gi|169218225|ref|XP_946578.2|,XP_946578.2,--,3,2,0,3,3
gi|239746765|ref|XP_002343838.1|,XP_002343838.1,--,12.67,3,13,10,15
gi|239750064|ref|XP_002347285.1|,XP_002347285.1,--,25.33,3,9,32,35
gi|239751853|ref|XP_941994.4|,XP_941994.4,--,1,1,1,0,0
gi|239752254|ref|XP_002348176.1|,XP_002348176.1,--,12.67,3,13,10,15
gi|239757745|ref|XP_002346323.1|,XP_002346323.1,--,12.67,3,13,10,15
gi|247301318|ref|NP_001156494.1|,NP_001156494.1,--,1,1,0,0,1
gi|247301334|ref|NP_001156495.1|,NP_001156495.1,--,1,1,0,0,1
gi|308235963|ref|NP_001184110.1|,NP_001184110.1,--,49.33,3,78,39,31
gi|310110175|ref|XP_003119545.1|,XP_003119545.1,--,1,1,0,1,0
gi|310113006|ref|XP_003119705.1|,XP_003119705.1,--,1,1,0,1,0
gi|310113175|ref|XP_003119737.1|,XP_003119737.1,--,1,1,0,1,0
gi|310114055|ref|XP_003119900.1|,XP_003119900.1,--,17,1,17,0,0
gi|310114250|ref|XP_002345622.2|,XP_002345622.2,--,1,1,0,1,0
gi|310114721|ref|XP_003119987.1|,XP_003119987.1,--,10,3,12,8,10
gi|310115019|ref|XP_002345931.2|,XP_002345931.2,--,3,1,3,0,0
gi|310115055|ref|XP_003120055.1|,XP_003120055.1,--,2,1,2,0,0
gi|310118095|ref|XP_003120349.1|,XP_003120349.1,--,2,2,0,1,3
gi|310118097|ref|XP_003120348.1|,XP_003120348.1,--,1,1,1,0,0
gi|310119767|ref|XP_003118603.1|,XP_003118603.1,--,2,1,2,0,0
gi|310120502|ref|XP_003119002.1|,XP_003119002.1,--,1,1,1,0,0
gi|310120504|ref|XP_003119001.1|,XP_003119001.1,--,1,1,1,0,0
gi|310120691|ref|XP_003119226.1|,XP_003119226.1,--,1,1,0,1,0
gi|310124143|ref|XP_003118866.1|,XP_003118866.1,--,17,1,17,0,0
gi|310124192|ref|XP_003119241.1|,XP_003119241.1,--,1.5,2,0,2,1
gi|310124646|ref|XP_003119129.1|,XP_003119129.1,--,2,1,0,0,2
gi|310124648|ref|XP_003119132.1|,XP_003119132.1,--,2,1,0,0,2
gi|310124650|ref|XP_003119130.1|,XP_003119130.1,--,2,1,0,0,2
gi|310124652|ref|XP_003119131.1|,XP_003119131.1,--,2,1,0,0,2
gi|310128310|ref|XP_002346832.2|,XP_002346832.2,--,3,1,3,0,0
gi|310128320|ref|XP_003120569.1|,XP_003120569.1,--,2,1,2,0,0
gi|310128730|ref|XP_003120648.1|,XP_003120648.1,--,19,1,19,0,0
gi|310128732|ref|XP_003120650.1|,XP_003120650.1,--,19,1,19,0,0
gi|310128734|ref|XP_003120649.1|,XP_003120649.1,--,19,1,19,0,0
gi|310128736|ref|XP_001719942.2|,XP_001719942.2,--,19,1,19,0,0
gi|310128738|ref|XP_003120651.1|,XP_003120651.1,--,16,1,16,0,0
gi|310128854|ref|XP_001125699.2|,XP_001125699.2,--,3.67,3,1,7,3
gi|310129346|ref|XP_003120761.1|,XP_003120761.1,--,1,1,0,1,0
gi|310129356|ref|XP_003120746.1|,XP_003120746.1,--,25.33,3,9,32,35
gi|310129359|ref|XP_003120747.1|,XP_003120747.1,--,25.33,3,9,32,35
gi|310129361|ref|XP_003120750.1|,XP_003120750.1,--,17.67,3,7,22,24
gi|310129363|ref|XP_003120749.1|,XP_003120749.1,--,23,3,9,30,30
gi|310129365|ref|XP_003120748.1|,XP_003120748.1,--,23.67,3,8,29,34
gi|310129652|ref|XP_002347399.2|,XP_002347399.2,--,1,1,1,0,0
gi|310131980|ref|XP_002347581.2|,XP_002347581.2,--,1,2,1,1,0
gi|310131982|ref|XP_003120859.1|,XP_003120859.1,--,1,2,1,1,0
gi|310131984|ref|XP_003120858.1|,XP_003120858.1,--,1,2,1,1,0
gi|310132397|ref|XP_003120931.1|,XP_003120931.1,--,1,1,0,1,0
gi|310132458|ref|XP_003120942.1|,XP_003120942.1,--,1,1,0,1,0
gi|310133076|ref|XP_003121061.1|,XP_003121061.1,--,17,1,17,0,0
gi|310133085|ref|XP_001718487.2|,XP_001718487.2,--,5,3,10,3,2
gi|310133139|ref|XP_003121075.1|,XP_003121075.1,--,1.5,2,0,2,1
gi|310133141|ref|XP_003121076.1|,XP_003121076.1,--,2,2,0,1,3
gi|310133460|ref|XP_003118516.1|,XP_003118516.1,--,3,3,2,3,4
gi|310133520|ref|XP_003118539.1|,XP_003118539.1,--,4,2,7,1,0
gi|316983126|ref|NP_001186901.1|,NP_001186901.1,--,4,1,4,0,0
gi|323276608|ref|NP_001190986.1|,NP_001190986.1,--,1,3,1,1,1
gi|323510698|ref|NP_001191123.1|,NP_001191123.1,--,1,2,1,1,0
gi|332164777|ref|NP_001193726.1|,NP_001193726.1,--,15,1,15,0,0
gi|42740907|ref|NP_976084.1|,NP_976084.1,--,2.33,3,3,1,3
gi|4504043|ref|NP_002062.1|,NP_002062.1,--,1,1,0,1,0
gi|4507135|ref|NP_003088.1|,NP_003088.1,--,1,1,0,1,0
gi|5031931|ref|NP_005585.1|,NP_005585.1,--,2,1,0,2,0
gi|50592996|ref|NP_006077.2|,NP_006077.2,--,55,3,87,44,34
gi|51464364|ref|XP_373042.2|,XP_373042.2,--,1,1,0,1,0
gi|55770868|ref|NP_064424.3|,NP_064424.3,--,7.33,3,9,5,8
gi|6005854|ref|NP_009204.1|,NP_009204.1,--,1,1,1,0,0
gi|88953571|ref|XP_933678.1|,XP_933678.1,--,6,3,10,3,5
gi|88953955|ref|XP_934680.1|,XP_934680.1,--,15,1,15,0,0
gi|88959164|ref|XP_943746.1|,XP_943746.1,--,15,1,15,0,0
gi|88981341|ref|XP_945499.1|,XP_945499.1,--,1,1,0,1,0
gi|94429050|ref|NP_004883.2|,NP_004883.2,--,1,1,0,0,1
